,n_eff,Rhat,divergence,treedepth,energy,observed_engagement,y_0,final_predicted,Unnamed: 0.1,incident_name,start,end,event_name,Unnamed: 0,incident,count,duration,sample_loc,data_loc,lower_predicted,upper_predicted,included
161,True,True,False,True,True,1698.0,11.0,True,488,USPS:_NJ_worker_dumps_mail,2847,2869,USPS:_NJ_worker_dumps_mail_event_0,377,USPS: NJ worker dumps mail,5093,22,./output/posteriors/USPS:_NJ_worker_dumps_mail_event_0_raw.p,./data/timeseries/aggregated/USPS:_NJ_worker_dumps_mail_raw.csv,1162.945,2670.1099999999997,False
162,True,True,False,True,True,224.0,1.0,True,441,supression:_NJ_disabled_only,58,80,supression:_NJ_disabled_only_event_1,343,supression: NJ disabled only,1046,22,./output/posteriors/supression:_NJ_disabled_only_event_1_raw.p,./data/timeseries/aggregated/supression:_NJ_disabled_only_raw.csv,166.0,298.0,False
163,True,True,True,True,True,585.0,1.0,True,418,Statistics:_JW_Counties_Over_100%,611,633,Statistics:_JW_Counties_Over_100%_event_6,330,Statistics: JW Counties Over 100%,6905,22,./output/posteriors/Statistics:_JW_Counties_Over_100%_event_6_raw.p,./data/timeseries/aggregated/Statistics:_JW_Counties_Over_100%_raw.csv,370.0,909.1099999999997,True
164,True,True,True,True,True,138.0,0.0,True,217,Other:_QAnon_Claims,526,549,Other:_QAnon_Claims_event_1,190,Other: QAnon Claims,2528,23,./output/posteriors/Other:_QAnon_Claims_event_1_raw.p,./data/timeseries/aggregated/Other:_QAnon_Claims_raw.csv,100.0,188.0,True
165,True,True,True,False,True,14667.0,10.0,True,528,Voting_Twice:_CA_Video,700,723,Voting_Twice:_CA_Video_event_0,422,Voting Twice: CA Video,17378,23,./output/posteriors/Voting_Twice:_CA_Video_event_0_raw.p,./data/timeseries/aggregated/Voting_Twice:_CA_Video_raw.csv,12325.725,19346.0,True
166,True,True,True,True,True,8273.0,0.0,True,350,Prominent_Person:_O'Keefe_NYC_Fraud,24214,24237,Prominent_Person:_O'Keefe_NYC_Fraud_event_0,298,Prominent Person: O'Keefe NYC Fraud,81421,23,./output/posteriors/Prominent_Person:_O'Keefe_NYC_Fraud_event_0_raw.p,./data/timeseries/aggregated/Prominent_Person:_O'Keefe_NYC_Fraud_raw.csv,7256.945,9419.055,True
167,True,True,True,True,True,93.0,0.0,True,313,Physical_Mail_Fraud:_Postal_Worker_Affiliation,5363,5386,Physical_Mail_Fraud:_Postal_Worker_Affiliation_event_0,256,Physical Mail Fraud: Postal Worker Affiliation,824,23,./output/posteriors/Physical_Mail_Fraud:_Postal_Worker_Affiliation_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_Postal_Worker_Affiliation_raw.csv,64.0,132.0,True
168,True,True,True,True,True,184.0,0.0,True,99,Ineligible_Voters:_TX_Illegal_Voters,2504,2527,Ineligible_Voters:_TX_Illegal_Voters_event_5,85,Ineligible Voters: TX Illegal Voters,2877,23,./output/posteriors/Ineligible_Voters:_TX_Illegal_Voters_event_5_raw.p,./data/timeseries/aggregated/Ineligible_Voters:_TX_Illegal_Voters_raw.csv,143.0,229.0,True
169,True,True,True,True,True,87.0,0.0,True,502,voting_info:_abuse_and_public_records,15282,15305,voting_info:_abuse_and_public_records_event_2,385,voting info: abuse and public records,1617,23,./output/posteriors/voting_info:_abuse_and_public_records_event_2_raw.p,./data/timeseries/aggregated/voting_info:_abuse_and_public_records_raw.csv,64.0,114.0,True
170,True,True,True,True,True,349.0,0.0,True,212,Other:_Manufactured_Stolen_Early_Votes,320,344,Other:_Manufactured_Stolen_Early_Votes_event_4,182,Other: Manufactured/Stolen Early Votes,4258,24,./output/posteriors/Other:_Manufactured_Stolen_Early_Votes_event_4_raw.p,./data/timeseries/aggregated/Other:_Manufactured_Stolen_Early_Votes_raw.csv,264.0,457.0,True
171,True,True,True,True,True,55.0,0.0,True,98,Ineligible_Voters:_TX_Illegal_Voters,1988,2012,Ineligible_Voters:_TX_Illegal_Voters_event_4,85,Ineligible Voters: TX Illegal Voters,2877,24,./output/posteriors/Ineligible_Voters:_TX_Illegal_Voters_event_4_raw.p,./data/timeseries/aggregated/Ineligible_Voters:_TX_Illegal_Voters_raw.csv,37.0,77.0,True
172,True,False,True,True,True,100.0,0.0,True,183,lost:_VA_60k_undelivered_ballots,594,618,lost:_VA_60k_undelivered_ballots_event_4,147,lost: VA 60k undelivered ballots,1920,24,./output/posteriors/lost:_VA_60k_undelivered_ballots_event_4_raw.p,./data/timeseries/aggregated/lost:_VA_60k_undelivered_ballots_raw.csv,68.0,140.0,False
173,True,False,False,True,True,1672.0,0.0,True,297,Physical_Mail_Fraud:_MI_Drops_Fake_Ballots,737,761,Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_event_0,243,Physical Mail Fraud: MI Drops Fake Ballots,2282,24,./output/posteriors/Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_event_0_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_MI_Drops_Fake_Ballots_raw.csv,1363.945,2116.055,False
174,True,True,True,True,True,284.0,0.0,True,518,voting_info:_poll_worker_ballot_marks,799,824,voting_info:_poll_worker_ballot_marks_event_0,408,voting info: poll worker ballot marks,5092,25,./output/posteriors/voting_info:_poll_worker_ballot_marks_event_0_raw.p,./data/timeseries/aggregated/voting_info:_poll_worker_ballot_marks_raw.csv,223.0,361.0,True
175,True,True,False,True,True,831.0,0.0,True,79,False_Victory:_GA_called_for_Trump,787,812,False_Victory:_GA_called_for_Trump_event_1,69,False Victory: GA called for Trump,9277,25,./output/posteriors/False_Victory:_GA_called_for_Trump_event_1_raw.p,./data/timeseries/aggregated/False_Victory:_GA_called_for_Trump_raw.csv,593.0,1162.0549999999998,False
176,True,True,True,True,True,74.0,0.0,True,394,riot:_mis-framed_trump_email,595,620,riot:_mis-framed_trump_email_event_2,315,riot: mis-framed trump email,977,25,./output/posteriors/riot:_mis-framed_trump_email_event_2_raw.p,./data/timeseries/aggregated/riot:_mis-framed_trump_email_raw.csv,51.0,100.0,True
177,True,True,True,True,True,595.0,1.0,True,106,In_Person_Fraud:_OHare_Airport,0,25,In_Person_Fraud:_OHare_Airport_event_0,91,In Person Fraud: OHare Airport,24762,25,./output/posteriors/In_Person_Fraud:_OHare_Airport_event_0_raw.p,./data/timeseries/aggregated/In_Person_Fraud:_OHare_Airport_raw.csv,459.0,787.0549999999998,True
178,True,True,True,True,True,2050.0,3.0,True,102,Ineligible_Voters:_WA_Ineligible_Sister,617,642,Ineligible_Voters:_WA_Ineligible_Sister_event_0,87,Ineligible Voters: WA Ineligible Sister,5389,25,./output/posteriors/Ineligible_Voters:_WA_Ineligible_Sister_event_0_raw.p,./data/timeseries/aggregated/Ineligible_Voters:_WA_Ineligible_Sister_raw.csv,1430.8899999999999,2866.055,True
179,True,True,True,True,True,541.0,0.0,True,387,riot:_democrat-led_election_violence,2758,2783,riot:_democrat-led_election_violence_event_5,314,riot: democrat-led election violence,4890,25,./output/posteriors/riot:_democrat-led_election_violence_event_5_raw.p,./data/timeseries/aggregated/riot:_democrat-led_election_violence_raw.csv,470.0,622.0,True
180,True,True,True,True,True,15225.0,0.0,True,190,Machines:_No_Ink_Green_Bay,692,717,Machines:_No_Ink_Green_Bay_event_0,160,Machines: No Ink Green Bay,17772,25,./output/posteriors/Machines:_No_Ink_Green_Bay_event_0_raw.p,./data/timeseries/aggregated/Machines:_No_Ink_Green_Bay_raw.csv,9223.34,21571.649999999994,True
181,True,True,True,True,True,961.0,1.0,True,370,riot:_antifa_burning_things_down,28904,28929,riot:_antifa_burning_things_down_event_8,310,riot: antifa burning things down,92051,25,./output/posteriors/riot:_antifa_burning_things_down_event_8_raw.p,./data/timeseries/aggregated/riot:_antifa_burning_things_down_raw.csv,679.0,1403.0549999999998,True
182,True,False,True,True,True,393.0,0.0,True,375,riot:_crimethinc,35156,35181,riot:_crimethinc_event_4,313,riot: crimethinc,9458,25,./output/posteriors/riot:_crimethinc_event_4_raw.p,./data/timeseries/aggregated/riot:_crimethinc_raw.csv,306.0,495.05499999999984,False
183,True,True,True,True,True,188.0,0.0,True,373,riot:_crimethinc,33641,33666,riot:_crimethinc_event_2,313,riot: crimethinc,9458,25,./output/posteriors/riot:_crimethinc_event_2_raw.p,./data/timeseries/aggregated/riot:_crimethinc_raw.csv,132.0,260.0,True
184,True,True,True,True,True,11145.0,91.0,True,192,Machines:_Westmoreland_machines_down,91,117,Machines:_Westmoreland_machines_down_event_0,166,Machines: Westmoreland machines down,58096,26,./output/posteriors/Machines:_Westmoreland_machines_down_event_0_raw.p,./data/timeseries/aggregated/Machines:_Westmoreland_machines_down_raw.csv,7978.0,18006.329999999998,True
185,True,True,False,True,True,241.0,0.0,True,260,partisan_vcr:__Michigan_delays,382,408,partisan_vcr:__Michigan_delays_event_0,215,partisan vcr:  Michigan delays,996,26,./output/posteriors/partisan_vcr:__Michigan_delays_event_0_raw.p,./data/timeseries/aggregated/partisan_vcr:__Michigan_delays_raw.csv,183.0,311.0,False
